Date,High,Low,Open,Close,Volume,Name,Day,Month,Year
17-09-19,731490.6875,725478.5,734975.875,725961,1.15101E+12,0,17,9,2019
18-09-19,735039.75,703342.8125,726121,732951.1875,1.42341E+12,0,18,9,2019
19-09-19,732415.8125,721472.4375,732944.3125,724993.9375,1.04916E+12,0,19,9,2019
20-09-19,725453.6875,712110.4375,725136.875,713463.9375,9.5596E+11,0,20,9,2019
21-09-19,717307.0625,706490.9375,713777.125,717018.5625,9.39824E+11,0,21,9,2019
22-09-19,713261,688686.5,716845.5625,688840.875,1.07227E+12,0,22,9,2019
23-09-19,695793.75,594059.875,688840.6875,611785.25,1.77441E+12,0,23,9,2019
24-09-19,620775.875,591001.3125,610569,602472.6875,1.54361E+12,0,24,9,2019
25-09-19,604371.375,560365.0625,602520.75,576215.6875,1.36678E+12,0,25,9,2019
26-09-19,584457.375,562864.125,575799.3125,583067.125,1.15944E+12,0,26,9,2019
27-09-19,584211.5625,572917.0625,583026.75,581412.25,9.9708E+11,0,27,9,2019
28-09-19,582515,563392.5625,581420.875,571408.5,9.19043E+11,0,28,9,2019
29-09-19,587364.75,553209.5,571411.375,585926.1875,1.20913E+12,0,29,9,2019
30-09-19,604270.875,585425.875,586339.6875,593290.375,1.08836E+12,0,30,9,2019
01-10-19,597178.3125,585413.625,593356.9375,597178.3125,9.33915E+11,0,1,10,2019
02-10-19,597643.8125,578623.25,597016.9375,586688.8125,9.70866E+11,0,2,10,2019
03-10-19,585018.4375,577311.3125,586653.5,581185.625,9.30602E+11,0,3,10,2019
04-10-19,581862.5625,571635.125,581483.8125,577328,8.64097E+11,0,4,10,2019
05-10-19,578038.1875,563691.75,577213,565767.3125,9.32126E+11,0,5,10,2019
06-10-19,590651.875,562024.875,565835.625,586185.4375,1.28032E+12,0,6,10,2019
07-10-19,593456,582990.0625,586272.6875,586053.9375,1.11048E+12,0,7,10,2019
08-10-19,613596.875,580995.25,586129.25,611323.4375,1.37864E+12,0,8,10,2019
09-10-19,612307.9375,601422.375,610579.5,609553.5625,1.25075E+12,0,9,10,2019
10-10-19,619682.5,590864.6875,609467.625,591260.8125,1.39289E+12,0,10,10,2019
11-10-19,597902.9375,590662.875,590828,592312.25,1.03254E+12,0,11,10,2019
12-10-19,600796.375,587010.4375,592336.875,590159,9.79339E+11,0,12,10,2019
13-10-19,597777.1875,590219.5,590146.6875,596671.25,1.07949E+12,0,13,10,2019
14-10-19,601366.0625,585063.5,596583.75,586683.875,1.08826E+12,0,14,10,2019
15-10-19,586387,569850.3125,586634.1875,574306.125,1.14694E+12,0,15,10,2019
16-10-19,578630.5625,569107.0625,574326.5,576431.25,1.01809E+12,0,16,10,2019
17-10-19,578563.875,561768.8125,576219.4375,566819.3125,1.11268E+12,0,17,10,2019
18-10-19,574598.1875,564798.1875,566861.6875,567910.75,9.80894E+11,0,18,10,2019
19-10-19,588340.3125,564728.125,568568.125,584096.375,1.10142E+12,0,19,10,2019
20-10-19,588397.375,581285.75,584312.125,584640.5625,1.1254E+12,0,20,10,2019
21-10-19,587767.9375,572027.25,584617.9375,572292.25,1.19042E+12,0,21,10,2019
22-10-19,572377.4375,528267.875,572152.3125,531475.1875,1.55191E+12,0,22,10,2019
23-10-19,534905.875,528807.625,531125.5625,532109.625,1.15523E+12,0,23,10,2019
24-10-19,615708.6875,529882.0625,531911.8125,613524.0625,2.03347E+12,0,24,10,2019
25-10-19,709940.375,613660.1875,614011.1875,654913.8125,3.15211E+12,0,25,10,2019
26-10-19,690656.625,645532.4375,654682.5,676643.4375,2.3089E+12,0,26,10,2019
28-10-19,693664.0625,654827.125,677591.8125,654827.125,2.18944E+12,0,28,10,2019
29-10-19,674645.75,654544.8125,654281.875,668372.0625,2.0153E+12,0,29,10,2019
30-10-19,667821.9375,643629,668001.6875,652155.3125,1.9628E+12,0,30,10,2019
31-10-19,666016.75,640858.375,651923.75,652986.5625,1.88691E+12,0,31,10,2019
01-11-19,655835.375,645681.4375,652589.5625,654806.4375,1.71988E+12,0,1,11,2019
02-11-19,661320.125,652300.4375,654713,657598.75,1.49808E+12,0,2,11,2019
03-11-19,661483.75,644660.3125,657603.625,651296.6875,1.49029E+12,0,3,11,2019
04-11-19,672853.1875,650656.1875,651314.4375,666309.5,1.85257E+12,0,4,11,2019
05-11-19,669325.125,655136.25,666337.3125,661194,1.85414E+12,0,5,11,2019
06-11-19,669144.0625,660812.5625,661076.3125,664716.0625,1.64274E+12,0,6,11,2019
07-11-19,665602.125,653799.5625,664113.4375,658432.4375,1.61279E+12,0,7,11,2019
08-11-19,661861.75,626371.3125,658276.625,628466,1.73682E+12,0,8,11,2019
09-11-19,634671.3125,627629.625,628793.5,629087.0625,1.25471E+12,0,9,11,2019
10-11-19,649746.3125,628501.875,629009.0625,646299.125,1.46937E+12,0,10,11,2019
11-11-19,649933.5625,622689.5,646398.4375,626781.8125,1.45037E+12,0,11,11,2019
12-11-19,635611.9375,623526.8125,626922.3125,632876.3125,1.45804E+12,0,12,11,2019
13-11-19,637591.25,632166.125,632615.8125,635529.25,1.26595E+12,0,13,11,2019
14-11-19,635238.0625,625566.4375,635794.3125,626685,1.37345E+12,0,14,11,2019
15-11-19,625436.125,607811.8125,626513.25,608323.875,1.56142E+12,0,15,11,2019
16-11-19,615620.8125,607164.375,608264.6875,612666.1875,1.1819E+12,0,16,11,2019
17-11-19,625299.125,609048.625,612573.75,614565.8125,1.33751E+12,0,17,11,2019
18-11-19,622561.0625,595243,614279.5625,597812.375,1.55254E+12,0,18,11,2019
19-11-19,604244.375,582071.4375,597513.6875,589701.8125,1.51509E+12,0,19,11,2019
20-11-19,591254.25,574980.125,589519.8125,576182.875,1.49042E+12,0,20,11,2019
